ID,Text,Classe,Homophobia,sexism,Racism
1,"@truaemusic @mattybboi83 @Number10gov Mohammed was a murderer, Jesus wasn't. Mohammed was a rapist, Jesus wasn't.",3,0,0,0
2,"@congressman_aly Islam declared war on all humanity 1400 years ago. While individual Muslims may or may not be terrorist,Islam is terrorist.",3,1,1,0
3,@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,3,0,0,0
4,"@semzyxx Now, since you claim that Islam limits age of marriage, but produce no verses to back up your lies, you are blocked.",3,0,0,0
5,@AdnanSadiq01 I think your goat is calling you. She is horny.,3,0,0,0
6,@lIlIlllIlIllI Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.,3,0,1,1
7,@harmlesstree2 Another line of horseshit. The poor Muslims being attacked. But virtually all their attacks were offensive.,3,0,0,0
8,Muslims are trying hard to finish the job of genocide that their prophet Mohammed gave them #Islam #Israel #Palestine http://t.co/GrFVgLmI70,3,1,0,1
9,"@edgeofthesandbx @batchelorshow @FearDept So, if I say that you must be a murdering fascist because you follow that book, am I right?",3,0,1,0
10,@Kaya786 @fai3an_H My opinions of Islam don't come from the media. They come from the Quran and Hadiths.,3,1,0,0
11,"@SAIACarleton @Naazzk What about the environmental racism experience by Christians, Jews, Ezidis, Hindus, etc. in Muslim countries?",3,1,0,1
12,"@jihadiAA Nobody gives a fuck about the streets when you are practicing genocide, murder, and slavery, microbrain.",3,0,0,1
13,"@Salon @TheMuslimGuy So when the subject of Islam's relationship with terrorism comes up, they react like the empty morons they are.",3,1,0,0
14,RT @sneekinsneekout: @Madasatrain69 @OZzSue @Muslim_Patrol Being nice 2 islam is like hugging a serial killer and thinking he will stop bur���,3,0,0,1
15,@IronmanL1 @IAmThe1Teacher @stevecorrales80 I don't think so. But we do need to outlaw Islam.,3,0,0,0
16,@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science,3,1,0,1
17,@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.,3,0,0,0
18,@ardiem1m @MaxBlumenthal @oldkhayyam The job Mohammed set Muslims is not done while Israel exists. http://t.co/iLVg1qTxVa,3,0,0,1
19,@jukes303 That's just as big a fallacy as the oil fallacy.  The US had zero to do with the creation of Al Queda.,3,0,0,0
20,@UmarMal And yet our number and quality of schools are luxurious compared to Pakistan where 40% don't even have working toilets.,3,0,0,1
21,"@truaemusic By hating the ideaology that enables it, that is what I'm doing.",3,0,0,0
22,@logicalmind11 You are living under severe delusions. The reason Mohammed so hated Jews was because so few were willing to convert.,3,0,0,1
23,"@abu__ramadi And what race are Muslims exactly. The race of the stupid, blind and violent?",3,1,0,1
24,@Vandaliser @sajid_fairooz @IsraeliRegime I don't see how that is relevant to how non Muslims were treated as third class citizens.,3,1,0,0
25,"@discerningmumin And if Muslims are angry that they can't force Islam on people, who cares? http://t.co/G43tlj1dGU",3,0,0,1
26,@mutaSawwif About 90% of Iraqi civilians are killed by Muslims.,3,0,0,1
27,@_sara22_ @Number10gov Muslim terrorist execute people daily. But when rare response happens to that provocation they fake being the victims,3,1,0,1
28,"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",3,0,0,1
29,"@exJizyacolector @abunaseeha2 Yes, only Islam can generate that level of barbarity, hatred, and inhumanity. https://t.co/frOHLueT12",3,0,0,1
30,@ibnHlophe @eeviewonders @CTFleaMarkets That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,3,1,0,0
31,@Hafisabidrees You animals are slitting throats and we are suppose to care that you are offended by cartoons. http://t.co/elEbZtioDk,3,0,0,0
32,"@Dabiq_Warrior @Totenleserin In other words, you were too stupid to understand that your 7th century barbarity would bring more enemies.",3,0,0,0
33,@NNdabbour64 The same old lie about property rights.  But Arab women had those before Islam.,3,0,0,0
34,@obsurfer84 @teenage Let people look at the polls that Muslims answered and see that they come from hate. http://t.co/j2BAMNBzi4,3,1,0,1
35,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I just gave you the proof from the Quran and the Hadiths that you are lying.,3,0,0,0
36,@MaxBlumenthal Here are the verses from Quran and Hadith proving genocidal aim of the Muslim biggots. http://t.co/pF8iwpdb1d,3,0,0,1
37,"RT @curdistani: Ottoman Enderun Schools were converting centers for non-Muslim kidnapped children, now #IS folowing them with Yazidis http:���",3,1,0,1
38,@truaemusic @mattybboi83 @Number10gov Not masked. The Quran and the Hadith declared war on humanity 1400 years ago. http://t.co/tuOWg1ltyj,3,0,0,1
39,RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM,3,0,0,0
40,"The myth of ""moderate"" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5",3,1,0,1
