Text_Lem,Sentiments_analyze
"hillaryguess riwired izrinhariri islam 100 operating terrorist group mandate conquer world violence","0,0,0
"
"fei989 isra_jourisra war chopping head raping slave girl mohammed 's favorite activity","0,1,0
"
"logicalmind11 never get rid radical muslim quran hadith always produce","0,0,1
"
"dankmtl hard get stupider still change ratio justified anything israel","0,0,0
"
"pray_4_life pontifex people call islam 3 know islam race want intimidate others shutting","0,0,0
"
"luvshinecafe bradybaggett need outlaw islam outright","0,0,0
"
"haroonstyles greenlinerzjm halalflaws biebervalue try mohammed screwed aisha 9. http //t.co/gj5ob13hfx","0,1,0
"
"nndabbour64 idiot think follow ideology murder imperialism hatred people like","0,0,0
"
"discerningmumin islam never resistance oppression always source oppression believer non believer","0,0,0
"
"obsurfer84 welcomed islam sword throat nothing kind islam religion designed thug","0,0,0
"
"anjemchoudary nothing desperate humanity realizes islam declared war 1400 year ago islam destroyed","0,0,0
"
"rt amymek islamloveswomen muslim file suit law banning child marriage '' offends islam '' http //t.co/bppisinss8 iwd2015 http //t.���","0,1,0
"
"yousufpoosuf hillaryguess riwired izrinhariri atharhkhan many hindu exterminate british ...","0,0,1
"
"cherguiambark every muslim convert becomes muslim propaganda","0,0,0
"
"rt sudixitca say islam religion say cult islam 's activity match description crime mafia must bust ���","0,0,0
"
"zh_ha89 proved stupid showed hadith mohammed call woman stupid still deny","0,1,0
"
"teddyboylocsin tweetybird2009 patvpeters mohammed people disagreed murdered isi murder","0,0,0
"
"hillaryguess riwired izrinhariri islam 100 operating terrorist group mandate conquer world violence","0,0,0
"
"fei989 isra_jourisra war chopping head raping slave girl mohammed 's favorite activity","0,1,0
"
"logicalmind11 never get rid radical muslim quran hadith always produce","0,0,1
"
"dankmtl hard get stupider still change ratio justified anything israel","0,0,0
"
"pray_4_life pontifex people call islam 3 know islam race want intimidate others shutting","0,0,0
"
"luvshinecafe bradybaggett need outlaw islam outright","0,0,0
"
"haroonstyles greenlinerzjm halalflaws biebervalue try mohammed screwed aisha 9. http //t.co/gj5ob13hfx","0,1,0
"
"nndabbour64 idiot think follow ideology murder imperialism hatred people like","0,0,0
"
"discerningmumin islam never resistance oppression always source oppression believer non believer","0,0,0
"
"obsurfer84 welcomed islam sword throat nothing kind islam religion designed thug","0,0,0
"
"anjemchoudary nothing desperate humanity realizes islam declared war 1400 year ago islam destroyed","0,0,0
"
"rt amymek islamloveswomen muslim file suit law banning child marriage '' offends islam '' http //t.co/bppisinss8 iwd2015 http //t.���","0,1,0
"
"yousufpoosuf hillaryguess riwired izrinhariri atharhkhan many hindu exterminate british ...","0,0,1
"
"cherguiambark every muslim convert becomes muslim propaganda","0,0,0
"
