Text,Sentiments_analyze
"@truaemusic @mattybboi83 @Number10gov Mohammed was a murderer, Jesus wasn't. Mohammed was a rapist, Jesus wasn't.","0,0,1"
"@congressman_aly Islam declared war on all humanity 1400 years ago. While individual Muslims may or may not be terrorist,Islam is terrorist.","0,0,0"
"@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year","0,0,0"
"@semzyxx Now, since you claim that Islam limits age of marriage, but produce no verses to back up your lies, you are blocked.","0,0,0"
"@lIlIlllIlIllI Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.","0,0,1"
"@harmlesstree2 Another line of horseshit. The poor Muslims being attacked. But virtually all their attacks were offensive.","0,0,1"
"Muslims are trying hard to finish the job of genocide that their prophet Mohammed gave them #Islam #Israel #Palestine http://t.co/GrFVgLmI70","0,0,1"
"@edgeofthesandbx @batchelorshow @FearDept So, if I say that you must be a murdering fascist because you follow that book, am I right?","0,0,0"
"@SAIACarleton @Naazzk What about the environmental racism experience by Christians, Jews, Ezidis, Hindus, etc. in Muslim countries?","0,0,1"
"@jihadiAA Nobody gives a fuck about the streets when you are practicing genocide, murder, and slavery, microbrain.","0,0,1"
"@Salon @TheMuslimGuy So when the subject of Islam's relationship with terrorism comes up, they react like the empty morons they are.","0,0,1"
"RT @sneekinsneekout: @Madasatrain69 @OZzSue @Muslim_Patrol Being nice 2 islam is like hugging a serial killer and thinking he will stop bur���","0,0,0"
"@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science","0,0,1"
"@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.","0,0,1"
"@ardiem1m @MaxBlumenthal @oldkhayyam The job Mohammed set Muslims is not done while Israel exists. http://t.co/iLVg1qTxVa","0,0,1"
"@logicalmind11 You are living under severe delusions. The reason Mohammed so hated Jews was because so few were willing to convert.","0,0,1"
"@abu__ramadi And what race are Muslims exactly. The race of the stupid, blind and violent?","0,0,1"
"@Vandaliser @sajid_fairooz @IsraeliRegime I don't see how that is relevant to how non Muslims were treated as third class citizens.","0,0,0"
