ID,Text
6,@lIlIlllIlIllI Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.
9,"@edgeofthesandbx @batchelorshow @FearDept So, if I say that you must be a murdering fascist because you follow that book, am I right?"
16,@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science
22,@logicalmind11 You are living under severe delusions. The reason Mohammed so hated Jews was because so few were willing to convert.
35,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I just gave you the proof from the Quran and the Hadiths that you are lying.
38,@truaemusic @mattybboi83 @Number10gov Not masked. The Quran and the Hadith declared war on humanity 1400 years ago. http://t.co/tuOWg1ltyj
39,RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM
63,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, Jews are tired of being murdered by Muslims. So what?"
73,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative
79,@loveconcursall @ottomanland ...the Prophet Mohammed did the same thing. Baghdadi can quote Quran and Hadiths for every action he takes.
95,"RT @sudixitca: Our Prophet Our Honor = Rape, Beheadings, and Genocide Our Honor = Muhammad Does not Deserve Respect."
98,RT @george3612: @ProudPatriot101 Austrians Say Islam Does Not Belong in Their Nation: Poll http://t.co/Pa7yTFBQhB ���
100,@FalconEye123456 May Allah bless him with 72 virgin pigs.
102,@DianH4 Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.
109,"@AAlwuhaib1977 So while thousands of churches, temples, synagogs have been destroyed by Muslim biggots, you only worry about one Muslim ...."
123,@alihadi68 @MaxBlumenthal @rudoren @nytimes Compare a Netanyahu speech to this genocidal Palestinian lunatic. https://t.co/8cmfoOZwxz
130,"@discerningmumin And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced."
135,@etsho127 @PAWarnhoff @SumerSloan They could never choose.  Islam has given them nothing but Caliphates and dictatorships for 1400 years.
145,"@buellerishere @KellyTurner99 ""That which your right hand posses"" means slave.  The Quran gives clear permission to rape slaves."
148,@truaemusic @mattybboi83 @Number10gov Child abuse is illegal in western culture. It is accepted in Islamic cultures because their prophet...
166,"@DavidRomeiPHD @ALWiss5 Anything an American does defines America, anything a Muslim does is an aberration? Idiot!"
202,@Ceff00 @JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch There are over 100 Islamic terrorist groups. No other religion is close.
208,"@discerningmumin Unfortunately, real Islam, as defined in the Quran and Hadith, is too backwards and inhuman even for most ME Muslims."
234,@harmlesstree2 @MaxBlumenthal Not only them. Mohammed ejected the other 2 Jewish tribes from Medina and later slaughtered them at Khybar.
