Text,Sentiments_analyze
"Am a stupid piece of shit" finish your sentences faggot","1,0,0"
""...WHO Will Stop Classifying Transgender People As Having A 'Mental Disorder'..." NO ONE, this sub group of sick animals are part and parcel of the homo child molesting rapist agenda! They should ALL be forced into 'special' FEMA camps to be properly adjudicated then, given the choice to straighten up their ACT or be exterminated!!!","1,0,0"
"No it's a promise, gonna call the police on a promise, sounds pretty faggy to me and I thought you hated that.... Ohhhhhh you hate yourself and are taking that internal angst onto others how cute 🤪","1,0,0"
"I'll fuck women however I want to and i have freedom of speech too. i'll say whatever the fuck i want. shut the fuck up, you ugly fat feminist bastard. you fat lesbians know nothing about a dick.. all u can do is rip your clothes on streets like whores in the name of protest","1,1,0"
"LOL it's so obviously that you're nothing but a stupid little faggot queer","1,0,0"
"Fucking faggot trying to make money off this","1,0,0"
"So fuck off retard. Why even make this post u dumb fucking faggot.","1,0,0"
"follow the 40% of your tranny comrades retard","1,0,0"
"Look man, no one is a bigger supporter and advocate for gay rights than me. But it's time to put all gay people into conversion camps or prison.","1,0,0"
"Retarded faggot confirmed","1,0,0"
"Hell is hot good luck fags","1,0,0"
"Dykes sticking they tongue out in pictures is equivalent to niggas taking grey pants dick print pictures little whores","1,1,1"
"give it a rest faggot","1,0,0"
"Don't want queers in the White House Sorry. Gross!!  Plus I love the booming economy and the low unemployment rate also my stocks are doing really well. Soooo TRUMP 2020 for me!!!!","1,0,0"
"Both of your two daddies are hemorrhoids you stupid fucking faggot","1,0,0"
"Being a zipper head and a faggot must be trying plus your sore ass hole and throat","1,0,1"
"Beat her faggot ass","1,1,0"
"It's pathetic how LGBTQ+ degenerates are claiming this as a victory and using it to push their nefarious agenda...instead of celebrating this brilliant man for his genius, they are all making it about how he was a homo. Nice.","1,0,0"
"Hang yourself retard","0,0,0"
"God I can't stand faggots.","1,0,0"
"Why you make your ficking son gay. I use to like you will Smith. But now I dont. You need help. You and your entire family. I'm pray yall stop the devil worship","1,0,0"
"@MxsterAngel He needs to hurt fucking ugly fag","1,0,0"
"Fuck off, faggot","1,0,0"
"I bet you never sucked your uncle's cum out your gfs pussy you faggot","1,1,0"
"Hittz Look Like He Could Be A Tranny","1,0,0"
"You Sodomites need a shaking up.","1,0,0"
"Fuck off slut gay idiot","1,1,0"
"Transgender are all idiots who are sick in the head","1,1,0"
"I'd probably executed the little faggot on the spot.","1,0,0"
"@Raven Black Little Petey is a disgusting homosexual race hustler. He's trying to captured the blacks voters who are escaping the Democrat Plantation.","1,0,1"
"NEXT, YOULL BE MARRYING GOATS. CAN A MAN GIVE BIRTH? I PERSONALLY THINK YOU NEED HELP! IS IT OK TO PUSH YOUR TWISTED VIEWS ON IMPRESSIONABLE CHILDREN?","1,0,0"
"@trapuhh @Bomaah @ColtxTrons @lesurooni Get off meat period faggot you play with other dudes hair fucking weirdo","1,0,0"
"21stcenturyenigma They would lift the World Cup trophy very soon if they dress up as women and declare themselves trans.  The future of women's sport is not great as once the trans get in on mass it will be an all male affair","0,1,0"
"Such garbage, holy shit! Totaly lbg gay queer","1,0,0"
"He's in your ass, faggot","1,0,0"
"Throwing out punctuation, me thinks the lady is upset. "Cockwomble". I haven't heard that in years. Why is it you faggots all sound the same though? Seriously, this shit is boring and old hat. "Knobgoblin", "cockwomble", "young". Lol, that last one shows you how pathetic and a loser you are. "This guy must be young because he called me a faggot". Good thing you pulled out "1". If I call you a retarded nigger faggot would you also call me 3?  If you weren't so predictable this would be fun.","1,0,1"
"Gays and trannys aren't the same. LGBTP+ is the worst thing to happen for gay representation. Makes all homosexuals look like degenerate pedos. I don't like being associaseted with pedos and trannys.","1,0,0"
"I hope these bitches die immediately as an American it makes me sick go scissor each other some more I hope I live to see you both die of cancer!!!!!! Never before have I felt more ashamed to be an American than this..... First time I ever wanted my country to lose","1,1,0"
"Thats why what the nazis did was okay, because it was legal in germany. Jews and homosexuals and the disabled aren't above the law, their existence is illegal.","1,0,1"
"so many blatant lies just to crate the myth that gay is ok it is plain to see that these people will stop at nothing I counted 39 factual inaccuracy eg. Richard the lion harts crusade was a huge successes and its aim was to reinforce the holy land and take Jaffa from the infidel","1,0,0"
"Deport all blacks ,Muslims ,gays and liberals ,, everything will be ok forever","1,0,1"
"What a dyke","1,0,0"
"u mad bro? Its not right wingers killing themselves at rates equal to jews living under nazi rule, thats your tranny pals.","1,0,0"
"@prepschoolhoes faggot","1,0,0"
"My God faggots are pathetic","1,0,0"
"He sounds like a tranny","1,1,0"
