ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism
1,"@truaemusic @mattybboi83 @Number10gov Mohammed was a murderer, Jesus wasn't. Mohammed was a rapist, Jesus wasn't.",3,truaemusic mattybboi83 number10gov mohammed murderer jesus n't mohammed rapist jesus n't,1,0,0
2,"@congressman_aly Islam declared war on all humanity 1400 years ago. While individual Muslims may or may not be terrorist,Islam is terrorist.",3,congressman_aly islam declared war humanity 1400 year ago individual muslim may may terrorist islam terrorist,1,0,1
3,@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,3,richarddawkins parallel behavior terrorist organization prophet mohammed something 've preached 15 year,1,0,1
4,"@semzyxx Now, since you claim that Islam limits age of marriage, but produce no verses to back up your lies, you are blocked.",3,semzyxx since claim islam limit age marriage produce verse back lie blocked,0,0,1
5,@AdnanSadiq01 I think your goat is calling you. She is horny.,3,adnansadiq01 think goat calling horny,0,0,0
6,@lIlIlllIlIllI Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.,3,lililllililli win 95 nobel prize create technology muslim use stupid invent,0,0,0
7,@harmlesstree2 Another line of horseshit. The poor Muslims being attacked. But virtually all their attacks were offensive.,3,harmlesstree2 another line horseshit poor muslim attacked virtually attack offensive,0,0,0
8,Muslims are trying hard to finish the job of genocide that their prophet Mohammed gave them #Islam #Israel #Palestine http://t.co/GrFVgLmI70,3,muslim trying hard finish job genocide prophet mohammed gave islam israel palestine http //t.co/grfvglmi70,0,0,1
9,"@edgeofthesandbx @batchelorshow @FearDept So, if I say that you must be a murdering fascist because you follow that book, am I right?",3,edgeofthesandbx batchelorshow feardept say must murdering fascist follow book right,0,0,1
10,@Kaya786 @fai3an_H My opinions of Islam don't come from the media. They come from the Quran and Hadiths.,3,kaya786 fai3an_h opinion islam n't come medium come quran hadith,0,0,0
11,"@SAIACarleton @Naazzk What about the environmental racism experience by Christians, Jews, Ezidis, Hindus, etc. in Muslim countries?",3,saiacarleton naazzk environmental racism experience christian jew ezidis hindu etc muslim country,0,0,1
