ID,Text
20,nope. half korean
24,Hello to you to :)
34,the wifey! lol idk
51,Snow White or Ariel?
54,what up freak nasty.
56,hahahaha ummm  sorry?
94,Why are u goin to North?
106,What&;s your funny story?
117,HOT DAMN! Congratulations!
123,Just rain here!!! Damn! :(
125,! w@n+ yUh t@ m@k3 m3 $w3@+
139,Name 1 girl you find pretty.
154,Shore I'd be happy too!!!! :)
159,what song best describes you?
167,you hate loud people  like us?
170,tell me 5 facts about yourself
171,dont you hate scarlett though?
172,I hate it when they do that :3
176,LOL!! Not DMX  his ass is crazy
211,Have you done something bad today?
212,Who&;s the most overrated athlete?
227,HAPPY FUCKING BIRTHDAY YA PONGO! :)
232,Would you rather be rich or famous?
253,Which is the song that makes you cry?
254,What movie do you know every line to?
258,Do you want to start over with anyone?
265,Is using a inhaler a sign of weakness?
276,I am. Hence the hate. But I love him rly
295,When was the first time that you had beer?
306,i guess i would gett fat  and have a baby .
314,yeah I've been to N.O. recently  damn shame.
316,Damn you Pinot Noir and your grapey goodness!
337,I KNOW!!!! makes my fucking dayyy!!! shes HUGE
341,Yes. And im sure there are tons that soo could.
357,damn. now im craving them from you tweeting them!
381,My pu$$zzy !z +hrobb!nq fo yo d!ck t@ q0 !n d@+ $h!+
384,u are probably right tho   i hate these short days =/
388,If you wanted to look very sexy  how would you dress?
429,aww damn!  I think we need to kick him out the league!  LOL
440,damn doll  u kinda look like brit wit hair!!!!!!!!!!!!!!!!!!!
443,When you were little did you ever go ahhh infront of the fan?
446,hmmm probably buy a few things for me and one of my besties :D
460,*sends fruit basket* Hope you get better soon  being sick sucks!
464,come to Dothan  bitch. You'll find someone to make out with fast.
465,lol I hate you. And by hate  I mean love  but I still hate you XD
476,i concur  2009 is going to kick ass if you have the right mind set
481,Who do you think should be the next president of the United States?
505,What happens to an irrisitable force when it hits an immovable object?
507,DAMN!!! Its 11 degrees in the UK and i feel cold! Feel for you my dude
519,tell me this bra why is you so awsomeeeeeee?? you is the best love youu
522,great post on the gay rights thing do u think it will happen years end?
528,Yes and I'm sure his monkey ass does too on the effin bus everydamnday!.
543,I bet im not even famous and I've seen and experienced it its a damn shame
550,! Jingle fucking Bells ! How is Christmas next wk?  Where does the time go?
578,Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.
580,ouch! that sucks! on 2nd thought  u might look cooler  w/ an eye patch!!! LOL!
583,I don't think he's stupid  so I'll just assume he's a disingenuous cunt instead
591,Cheesecake or brownies?  You can only pick one to have for the rest of your life.
604,i speak english frensh and a little arabic cuz i&;ve been to egypt a lotta times :D
613,DAMN. I just lost too. Thanks Alyssa. And I decided that PATD's new CD isn't so bad.
616,http://twitpic.com/w588 - YEEEEEEEEEEESSSSS!  Those damn Salingers  I loved them too
617,yea I drive a punk ass  truck so Im lovin these petro prices. 10 bux is half a tank.
619,I don't know what an ocean park is.. but if it counts  I've went to seaworld twice :]
624,yeah he did then got big again how I hv no idea. But totally agree about kicking ass.
632,you know i bought a pomegranate today because of your ass! i better not get obsessed...
648,damn...lemme get one of them lol! im waay far from @cathyrnmarie or you yet!! hahaaaahaaha
656,She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!
661,when they hate / sneak diss. that means you are doing TOO much. Asvice: fcuk em & keep goin.
