Text,Sentiments_analyze
"add massive amount sustanol deca hugh jackman arm would grow back stronger .. fuck 'd grow 2","0,0,0
"
"wanted change username -- 'v4sudh4 suck least 'qbarq sound better 'meow 'spherical cow","0,0,0
"
"joie beautifulllll","0,0,0
"
"hmmm ... first","0,0,0
"
"matter","0,0,0
"
"wats ur email","0,0,0
"
"damn 're cool","0,0,0
"
"oh suck","0,0,0
"
"quality sure","0,0,0
"
"really haha","0,0,0
"
"phone sexxx boo","0,0,0
"
"okay forsurre","0,0,0
"
"september 22nd 3","0,0,0
"
"anger greed","0,0,0
"
"shit suck","0,0,0
"
"hmm .. paris hilton","0,0,0
"
"vvvvvvvummmmmmmmm","0,0,0
"
"hmmm im sure","0,0,0
"
"like cat","0,0,0
"
"nope half korean","0,0,0
"
"straight sorry","0,0,0
"
"spam spam","0,0,0
"
"text haha","0,0,0
"
"hello","0,0,0
"
"hahhahah yeah","0,0,0
"
"k-pax watch","0,0,0
"
"got","0,0,0
"
"ew hate twilight","0,0,0
"
"nah im joking","0,0,0
"
"exactly got damn","0,0,0
"
"nahhh fine","0,0,0
"
"hahaha strange","0,0,0
"
"woah suck","0,0,0
"
"wifey lol idk","0,0,0
"
"show safety","0,0,0
"
"fuck nugget","0,0,0
"
"haha yeah probably","0,0,0
"
"like lol","0,0,0
"
"love tea 3","0,0,0
"
"know","0,0,0
"
"fine hate","0,0,0
"
"1 year 3 month","0,0,0
"
"damn happened","0,0,0
"
"care wayy much","0,0,0
"
"yes time","0,0,0
"
"lolss yeahh yew aree","0,0,0
"
"eagle definantly","0,0,0
"
"lol nice question","0,0,0
"
"foing","0,0,0
"
"love cheese cube","0,0,0
"
"snow white ariel","0,0,0
"
"damn fuck drake","0,0,0
"
"haha","0,0,0
"
"freak nasty","0,0,0
"
"favorite board game","0,0,0
"
"hahahaha ummm sorry","0,0,0
"
"lonely boy","0,0,0
"
"okay ill check","0,0,0
"
"longest relationship","0,0,0
"
"yeppppppppppppppppppp","0,0,0
"
"like clean","0,0,0
"
"ilove nose ring","0,0,0
"
"lol thats funny","0,0,0
"
"like name","0,0,0
"
"whn gonn b 2gether","0,0,0
"
"welcome sureee","0,0,0
"
"ever sex","0,1,0
"
"nice rub hahaha","0,0,0
"
"fucking true","0,0,0
"
"u hate christmas 2","0,0,0
"
"definantly one","0,0,0
"
"yes suck","0,0,0
"
"love life","0,0,0
"
"mobb deep fucking owns","0,0,0
"
"haha 'm nerd","0,0,0
"
"boring","0,0,0
"
"fucking kidding eh","0,0,0
"
"thats nice lol=","0,0,0
"
"penn teller pussy","0,1,0
"
"damn sound painful lol","0,0,0
"
"pick damn phone","0,0,0
"
"kick as miss jen","0,1,0
"
"lacey z bitch wtf lol","0,1,0
"
"sheos hate medication","0,0,0
"
"damn cute","0,0,0
"
"idnt even kno iz","0,0,0
"
"nigga u fresh fuck","0,0,1
"
"heaven","0,0,0
"
"stay cute","0,0,0
"
"ummm .. im quitter","0,0,0
"
"hadda say","0,0,0
"
"nope probably haha","0,0,0
"
"haha whatever","0,0,0
"
"u goin north","0,0,0
"
"others","0,0,0
"
"painted wooden dragon","0,0,0
"
"love april hahaha","0,0,0
"
"love april hahaha","0,0,0
"
"y0 k l k3 c0rnd0q","0,0,0
"
"would like massage","0,0,0
"
"want girlfriend","0,0,0
"
"silly serious","0,0,0
"
"yuh stalker","0,0,0
"
"lmfao ijuz notice dat lol","0,0,1
"
"r yuu still wit yo bf","0,0,0
"
"funny story","0,0,0
"
"well know ..","0,0,0
"
"live parent","0,0,0
"
"think life fair","0,0,0
"
"often get sick","0,0,0
"
"none left p","0,0,0
"
"nipplesz pierced","0,1,0
"
"ouch hate","0,0,0
"
"tabitha jai locascio","0,0,0
"
"different place utopia","0,0,0
"
"heh default slut mode","0,1,0
"
"hot damn congratulation","0,0,0
"
"hate --","0,0,0
"
"pair dice","0,0,0
"
"favorite brand clothes","0,0,0
"
"favourite quote","0,0,0
"
"j.mayer suck big one","0,0,0
"
"rain damn","0,0,0
"
"oooh damn sound good","0,0,0
"
"w n+ yuh k3 m3 w3","0,0,0
"
"draw picture well","0,0,0
"
"crop circle square","0,0,0
"
"ouch hate","0,0,0
"
"lmao idk wea .... haha","0,0,0
"
"o. m. g. freak offense","0,0,0
"
"like girl hahaha","0,0,0
"
"would get high","0,0,0
"
"dont hate embrace","0,0,0
"
"got damn man 's nice","0,0,0
"
"piratee ninja ahah","0,0,0
"
"always pray","0,0,0
"
"anything jennifer lopez haha","0,0,0
"
"colour bedroom","0,0,0
"
"name 1 girl find pretty","0,0,0
"
"hate getting confused lol","0,0,0
"
"computer nerd","0,0,0
"
"l v e u h h","0,0,0
"
"look away haha","0,0,0
"
"keep inside almost always","0,0,0
"
"unless im super active","0,0,0
"
"u lyk yo bred toasted","0,0,0
"
"great went ta jamaca ... yew","0,0,0
"
"know alot pretty people","0,0,0
"
"'ll alert gay-thorities","1,0,0
"
"truly kind one another","0,0,0
"
"ever beaten","0,0,0
"
"name bird long neck","0,0,0
"
"sleep fuck","0,0,0
"
"shore 'd happy","0,0,0
"
"fuck atrium","0,0,0
"
"yes haha im gayy silly","0,0,0
"
"yeah time zone bitch","0,1,0
"
"ever go bird watching","0,0,0
"
"song best describes","0,0,0
"
"give peace mind","0,0,0
"
"ahahaha 're nerd lt 3","0,0,0
"
"think demon real","0,0,0
"
"yuh k3 53x m3+3r q0 vv ld","0,0,0
"
"ummm ..... ahhh hottt seniorrr","0,0,0
"
"many suitcase","0,0,0
"
"hate piano o_o","0,0,0
"
"hate loud people like u","0,0,0
"
"haha nice as also","0,0,0
"
"apple store need mac pro","0,0,0
"
"tell 5 fact","0,0,0
"
"dont hate scarlett though","0,0,0
"
"hate :3","0,0,0
"
"famous bhut im 4 rite","0,0,0
"
"r u amp france still talken","0,0,0
"
"make happy","0,0,0
"
"lol dmx as crazy","0,0,0
"
"sunday sleep","0,0,0
"
"damn last tweet p","0,0,0
"
"dog look fat","0,0,0
"
"true hate dirty bathroom","0,0,0
"
"fuck blow long","0,0,0
"
"damn beautiful car","0,0,0
"
"beatles temptation","0,0,0
"
"kickin canadian as","0,0,0
"
"name 3 cheese product like","0,0,0
"
"know speak korean","0,0,0
"
"personality 9r physic 8r look 8","0,0,0
"
"come 'll kickle as","0,0,0
"
"oh damn .... 'm sorry honey ...","0,0,0
"
"hahah okey dokey .. sweet thang","0,1,0
"
"last time cried","0,0,0
"
"putting pant suck lol ross","0,0,0
"
"heart troll phase 2 damn","0,0,0
"
"know dina im dumb","0,0,0
"
"good im cookie club","0,0,0
"
"ever six flag","0,0,0
"
"special reason hate","0,0,0
"
"ohio usa pretty rad","0,0,0
"
"people hateful","0,0,0
"
"tell something .. snow","0,0,0
"
"big kiss doll ''","0,1,0
"
"often get hiccup","0,0,0
"
"omg really never noticed lol","0,0,0
"
"crude people people","0,0,0
"
"best thing life free","0,0,0
"
"yeah fucking dumbass","0,0,0
"
"way work driving","0,0,0
"
"usual used piss","0,0,0
"
"juno sweet november mr. deed","0,0,0
"
"watch family guy regularly","0,0,0
"
"done something bad today","0,0,0
"
"overrated athlete","0,0,0
"
"well bring","0,0,0
"
"havent ate fry long time","0,0,0
"
"hmmm fruit kind fruit","1,0,0
"
"idk really think im alien","0,0,0
"
"poor hate subject","0,0,0
"
"3 hahahahhahah thakssssssssssssss","0,0,0
"
"damn n't think 'm list","0,0,0
"
"dinner yet","0,0,0
"
"hate direct message thanks","0,0,0
"
"craziest havent raccoon","0,0,0
"
"suck source link wrong","0,0,0
"
"think u jack date","0,0,0
"
"aww suck sorry hear","0,0,0
"
