ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism,Normal,Manual Analysis (MA)
1,"@truaemusic @mattybboi83 @Number10gov Mohammed was a murderer, Jesus wasn't. Mohammed was a rapist, Jesus wasn't.",1,truaemusic mattybboi83 number10gov mohammed murderer jesus n't mohammed rapist jesus n't,1,0,1,0,1
2,"@congressman_aly Islam declared war on all humanity 1400 years ago. While individual Muslims may or may not be terrorist,Islam is terrorist.",1,congressman_aly islam declared war humanity 1400 year ago individual muslim may may terrorist islam terrorist,1,0,1,0,1
3,@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,1,richarddawkins parallel behavior terrorist organization prophet mohammed something 've preached 15 year,1,0,1,0,1
4,"@semzyxx Now, since you claim that Islam limits age of marriage, but produce no verses to back up your lies, you are blocked.",1,semzyxx since claim islam limit age marriage produce verse back lie blocked,0,0,1,0,1
6,@lIlIlllIlIllI Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.,1,lililllililli win 95 nobel prize create technology muslim use stupid invent,0,0,1,0,1
7,@harmlesstree2 Another line of horseshit. The poor Muslims being attacked. But virtually all their attacks were offensive.,1,harmlesstree2 another line horseshit poor muslim attacked virtually attack offensive,1,0,1,0,1
8,Muslims are trying hard to finish the job of genocide that their prophet Mohammed gave them #Islam #Israel #Palestine http://t.co/GrFVgLmI70,1,muslim trying hard finish job genocide prophet mohammed gave islam israel palestine http //t.co/grfvglmi70,1,0,1,0,1
9,"@edgeofthesandbx @batchelorshow @FearDept So, if I say that you must be a murdering fascist because you follow that book, am I right?",1,edgeofthesandbx batchelorshow feardept say must murdering fascist follow book right,1,0,1,0,1
11,"@SAIACarleton @Naazzk What about the environmental racism experience by Christians, Jews, Ezidis, Hindus, etc. in Muslim countries?",1,saiacarleton naazzk environmental racism experience christian jew ezidis hindu etc muslim country,1,0,1,0,1
12,"@jihadiAA Nobody gives a fuck about the streets when you are practicing genocide, murder, and slavery, microbrain.",1,jihadiaa nobody give fuck street practicing genocide murder slavery microbrain,0,0,1,0,1
13,"@Salon @TheMuslimGuy So when the subject of Islam's relationship with terrorism comes up, they react like the empty morons they are.",1,salon themuslimguy subject islam 's relationship terrorism come react like empty moron,0,0,0,1,1
14,RT @sneekinsneekout: @Madasatrain69 @OZzSue @Muslim_Patrol Being nice 2 islam is like hugging a serial killer and thinking he will stop bur���,1,rt sneekinsneekout madasatrain69 ozzsue muslim_patrol nice 2 islam like hugging serial killer thinking stop bur���,1,0,1,0,1
16,@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science,1,vandaliser sajid_fairooz israeliregime without muslim science would exactly today made zero contrib comp science,0,0,1,0,1
17,@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.,1,dianh4 muslim ever produced decent leader world would overjoyed accept,1,0,1,0,1
18,@ardiem1m @MaxBlumenthal @oldkhayyam The job Mohammed set Muslims is not done while Israel exists. http://t.co/iLVg1qTxVa,1,ardiem1m maxblumenthal oldkhayyam job mohammed set muslim done israel exists http //t.co/ilvg1qtxva,0,1,1,0,1
22,@logicalmind11 You are living under severe delusions. The reason Mohammed so hated Jews was because so few were willing to convert.,1,logicalmind11 living severe delusion reason mohammed hated jew willing convert,1,0,1,0,1
23,"@abu__ramadi And what race are Muslims exactly. The race of the stupid, blind and violent?",1,abu__ramadi race muslim exactly race stupid blind violent,1,0,1,0,1
24,@Vandaliser @sajid_fairooz @IsraeliRegime I don't see how that is relevant to how non Muslims were treated as third class citizens.,1,vandaliser sajid_fairooz israeliregime n't see relevant non muslim treated third class citizen,0,0,1,0,1
25,"@discerningmumin And if Muslims are angry that they can't force Islam on people, who cares? http://t.co/G43tlj1dGU",1,discerningmumin muslim angry ca n't force islam people care http //t.co/g43tlj1dgu,0,0,0,1,1
26,@mutaSawwif About 90% of Iraqi civilians are killed by Muslims.,1,mutasawwif 90 iraqi civilian killed muslim,0,0,1,0,1
27,@_sara22_ @Number10gov Muslim terrorist execute people daily. But when rare response happens to that provocation they fake being the victims,1,_sara22_ number10gov muslim terrorist execute people daily rare response happens provocation fake victim,1,0,1,0,1
28,"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",1,robert150254 ag_nostic riwired itsomar99 mostly old testament hero attacked slaughter every man woman child animal,0,1,0,0,1
29,"@exJizyacolector @abunaseeha2 Yes, only Islam can generate that level of barbarity, hatred, and inhumanity. https://t.co/frOHLueT12",1,exjizyacolector abunaseeha2 yes islam generate level barbarity hatred inhumanity http //t.co/frohluet12,1,0,1,0,1
33,@NNdabbour64 The same old lie about property rights.  But Arab women had those before Islam.,1,nndabbour64 old lie property right arab woman islam,0,1,1,0,1
