Text,Sentiments_analyze
"if you add in the massive amount of sustanol and deca hugh jackman did  the arm would grow back stronger..fuck it he'd grow 2","0,0,0
"
"Wanted to change my username -- 'v4sudh4' sucks. At least  'qbarq' sounds  better than 'meow' or 'spherical cow'. :/","0,0,0
"
"Joie is beautifulllll. :)","0,0,0
"
"hmmm...my first","0,0,0
"
"when it matters","0,0,0
"
"watss ur email.?","0,0,0
"
"Damn you're cool","0,0,0
"
"oh that sucks :(","0,0,0
"
"quality for sure","0,0,0
"
"really!!??! haha","0,0,0
"
"PHONE SExxx boo!","0,1,0
"
"okay forsurre(::","0,0,0
"
"September 22nd<3","0,0,0
"
"anger and greed.","0,0,0
"
"shit! That sucks!","0,0,0
"
"hmm..paris hilton","0,0,0
"
"vvvvvvvummmmmmmmm","0,0,0
"
"hmmm im not sure.","0,0,0
"
"do you like cats?","0,0,0
"
"nope. half korean","0,0,0
"
"straight sorry :)","0,0,0
"
"Spam for Spam? :)","0,0,0
"
"you text me? haha","0,0,0
"
"Hello to you to :)","0,0,0
"
"hahhahah yeah you!","0,0,0
"
"K-PAX. Watch it :)","0,0,0
"
"got it from you :)","0,0,0
"
"ew i hate twilight","0,0,0
"
"nah im just joking","0,0,0
"
"EXACTLY! GOT DAMN!","0,0,0
"
"Nahhh your fine :)","0,0,0
"
"Hahaha. Strange!:S","0,0,0
"
"woah that sucks :(","0,0,0
"
"the wifey! lol idk","0,0,0
"
"no it shows safety","0,0,0
"
"what a fuck nugget.","0,0,0
"
"haha yeah probably.","0,0,0
"
"i like them all lol","0,0,0
"
"Both! I love tea <3","0,0,0
"
"Just so you know ;)","0,0,0
"
"fine I hate you too","0,0,0
"
"1 year and 3 months","0,0,0
"
"damn what happened?","0,0,0
"
"I care wayy to much.","0,0,0
"
"Yes. all the time :)","0,0,0
"
"lolss yeahh yew aree","0,0,0
"
"An eagle definantly.","0,0,0
"
"lol nice question :]","0,0,0
"
"are you foing out???","0,0,0
"
"I love cheese cubes.","0,0,0
"
"Snow White or Ariel?","0,0,0
"
"damn why fuck drake?","0,0,0
"
":) who is this? haha","0,0,0
"
"what up freak nasty.","0,0,0
"
"Favorite board game?","0,0,0
"
"hahahaha ummm  sorry?","0,0,0
"
"Are you a lonely boy?","0,0,0
"
"okay ill check it out","0,0,0
"
"Longest relationship?","0,0,0
"
"yeppppppppppppppppppp","0,0,0
"
"Do you like to clean?","0,0,0
"
"iLove your nose ring!","0,0,0
"
"No lol thats funny :)","0,0,0
"
"Do you like your name?","0,0,0
"
"Whn we gonn b 2gether?","0,0,0
"
"your welcome :) sureee","0,0,0
"
"have you ever had sex?","0,0,0
"
"nice. rub it in hahaha","0,0,0
"
"Only too fucking true.","0,0,0
"
"so u hate christmas 2?","0,0,0
"
"Definantly not. One :]","0,0,0
"
"yes i do and it sucks.","0,0,0
"
"The love of my life :]","0,0,0
"
"mobb deep fucking owns","0,0,0
"
"haha! i'm such a nerd!","0,0,0
"
"What is boring to you?","0,0,0
"
"No fucking kidding eh?","0,0,0
"
"thats nice to no lol=]","0,0,0
"
"penn and teller pussy?","0,1,0
"
"damn sounds painful lol","0,0,0
"
"pick up the damn phone!","0,0,0
"
"Kick some ass miss jen!","0,0,0
"
"LACEY'Z A BITCH WTF LOL","0,1,0
"
"sheos  hate  medication","0,0,0
"
"that is too damn cute!!","0,0,0
"
"iDnt even kno if she iz","0,0,0
"
"nigga u fresh as fuck.!","0,0,1
"
"what&;s heaven for you?","0,0,0
"
"how do you stay so cute?","0,0,0
"
"Ummm..Im not  a quitter.","0,0,0
"
"so i just hadda say this","0,0,0
"
"nope. probably not. haha","0,0,0
"
"Haha (: whatever that is","0,0,0
"
"Why are u goin to North?","0,0,0
"
"what others do you have?","0,0,0
"
"A painted wooden dragon.","0,0,0
"
"Love you too april hahaha","0,0,0
"
"Love you too april hahaha","0,0,0
"
"y0 d!(k !$ l!K3 @ c0RND0q","0,0,0
"
"Would you like a massage?","0,0,0
"
"do you want a girlfriend?","0,0,0
"
"Are you silly or serious?","0,0,0
"
"Do yuh have any stalkers?","0,0,0
"
"lmfao iJuz notice dat lol","0,0,0
"
"R YUU STiLL WiT YO BF? (:","0,0,0
"
"What&;s your funny story?","0,0,0
"
"well i know who this is..","0,0,0
"
"live with both Parents ??","0,0,0
"
"Do you think life is fair?","0,0,0
"
"How often do you get sick?","0,0,0
"
"when there is none left :P","0,0,0
"
"Are your nippleSz pierced?","0,1,0
"
"ouch  why did you hate it?","0,0,0
"
"(: Tabitha Jai Locascio (:","0,0,0
"
"a different place. utopia.","0,0,0
"
"Heh  default slut mode? :)","0,1,0
"
"HOT DAMN! Congratulations!","0,0,0
"
"I hate when they do that--","0,0,0
"
"Do you own a pair of dice?","0,0,0
"
"Favorite brand of clothes?","0,0,0
"
"Have any favourite quotes?","0,0,0
"
"J.Mayer sucks the big one.","0,0,0
"
"Just rain here!!! Damn! :(","0,0,0
"
"oooh damn that sounds good!","0,0,0
"
"! w@n+ yUh t@ m@k3 m3 $w3@+","0,0,0
"
"Can you draw pictures well?","0,0,0
"
"Can crop circles be square?","0,0,0
"
"ouch. I hate when i do that","0,0,0
"
"lmao idk wea its at....haha","0,0,0
"
"O. M. G. FREAK. no offense.","0,0,0
"
"do you like girls? hahaha:]","0,0,0
"
"Would you get high with me?","0,0,0
"
"dont hate her  embrace her!","0,0,0
"
"got damn man. that's nice!!","0,0,0
"
"piratee&;s or ninja&;s? Ahah","0,0,0
"
