ID,Text,Classe,Sentiments_analyze
1,if you add in the massive amount of sustanol and deca hugh jackman did  the arm would grow back stronger..fuck it he'd grow 2,0,"0,0,0"
2,Wanted to change my username -- 'v4sudh4' sucks. At least  'qbarq' sounds  better than 'meow' or 'spherical cow'. :/,0,"0,0,0"
3,Joie is beautifulllll. :),0,"0,0,0"
4,hmmm...my first,0,"0,0,0"
5,when it matters,0,"0,0,0"
6,watss ur email.?,0,"0,0,0"
7,Damn you're cool,0,"0,0,0"
8,oh that sucks :(,0,"0,0,0"
9,quality for sure,0,"0,0,0"
10,really!!??! haha,0,"0,0,0"
11,PHONE SExxx boo!,0,"1,1,0"
12,okay forsurre(::,0,"0,0,0"
13,September 22nd<3,0,"0,0,0"
14,anger and greed.,0,"0,0,0"
15,shit! That sucks!,0,"0,0,0"
16,hmm..paris hilton,0,"0,0,0"
17,vvvvvvvummmmmmmmm,0,"0,0,0"
18,hmmm im not sure.,0,"0,0,0"
19,do you like cats?,0,"0,0,0"
20,nope. half korean,0,"0,0,0"
21,straight sorry :),0,"0,0,0"
22,Spam for Spam? :),0,"0,0,0"
23,you text me? haha,0,"0,0,0"
24,Hello to you to :),0,"0,0,0"
25,hahhahah yeah you!,0,"0,0,0"
26,K-PAX. Watch it :),0,"0,0,0"
27,got it from you :),0,"0,0,0"
28,ew i hate twilight,0,"0,0,0"
29,nah im just joking,0,"0,0,0"
30,EXACTLY! GOT DAMN!,0,"0,0,0"
31,Nahhh your fine :),0,"0,0,0"
32,Hahaha. Strange!:S,0,"0,0,0"
33,woah that sucks :(,0,"0,0,0"
34,the wifey! lol idk,0,"0,1,0"
35,no it shows safety,0,"0,0,0"
36,what a fuck nugget.,0,"0,0,0"
37,haha yeah probably.,0,"0,0,0"
38,i like them all lol,0,"0,0,0"
39,Both! I love tea <3,0,"0,0,0"
40,Just so you know ;),0,"0,0,0"
41,fine I hate you too,0,"0,0,0"
42,1 year and 3 months,0,"0,0,0"
43,damn what happened?,0,"0,0,0"
44,I care wayy to much.,0,"0,0,0"
45,Yes. all the time :),0,"0,0,0"
46,lolss yeahh yew aree,0,"0,0,0"
47,An eagle definantly.,0,"0,0,0"
48,lol nice question :],0,"0,0,0"
49,are you foing out???,0,"0,0,0"
50,I love cheese cubes.,0,"0,0,0"
51,Snow White or Ariel?,0,"0,0,0"
52,damn why fuck drake?,0,"0,0,0"
53,:) who is this? haha,0,"0,0,0"
54,what up freak nasty.,0,"0,0,0"
55,Favorite board game?,0,"0,0,0"
56,hahahaha ummm  sorry?,0,"0,0,0"
57,Are you a lonely boy?,0,"0,0,0"
58,okay ill check it out,0,"0,0,0"
59,Longest relationship?,0,"0,0,0"
60,yeppppppppppppppppppp,0,"0,0,0"
61,Do you like to clean?,0,"0,0,0"
62,iLove your nose ring!,0,"0,0,0"
63,No lol thats funny :),0,"0,0,0"
64,Do you like your name?,0,"0,0,0"
65,Whn we gonn b 2gether?,0,"0,0,0"
66,your welcome :) sureee,0,"0,0,0"
67,have you ever had sex?,0,"0,0,0"
68,nice. rub it in hahaha,0,"0,0,0"
69,Only too fucking true.,0,"0,0,0"
70,so u hate christmas 2?,0,"0,0,0"
71,Definantly not. One :],0,"0,0,0"
72,yes i do and it sucks.,0,"0,0,0"
73,The love of my life :],0,"0,0,0"
74,mobb deep fucking owns,0,"0,0,0"
75,haha! i'm such a nerd!,0,"0,0,0"
76,What is boring to you?,0,"0,0,0"
77,No fucking kidding eh?,0,"0,0,0"
78,thats nice to no lol=],0,"0,0,0"
79,penn and teller pussy?,0,"1,1,0"
80,damn sounds painful lol,0,"0,0,0"
81,pick up the damn phone!,0,"0,0,0"
82,Kick some ass miss jen!,0,"0,0,0"
83,LACEY'Z A BITCH WTF LOL,0,"0,1,0"
84,sheos  hate  medication,0,"0,0,0"
85,that is too damn cute!!,0,"0,0,0"
86,iDnt even kno if she iz,0,"0,0,0"
87,nigga u fresh as fuck.!,0,"1,0,1"
88,what&;s heaven for you?,0,"0,0,0"
89,how do you stay so cute?,0,"0,0,0"
90,Ummm..Im not  a quitter.,0,"0,0,0"
91,so i just hadda say this,0,"0,0,0"
92,nope. probably not. haha,0,"0,0,0"
93,Haha (: whatever that is,0,"0,0,0"
94,Why are u goin to North?,0,"0,0,0"
95,what others do you have?,0,"0,0,0"
96,A painted wooden dragon.,0,"0,0,0"
97,Love you too april hahaha,0,"0,0,0"
98,Love you too april hahaha,0,"0,0,0"
99,y0 d!(k !$ l!K3 @ c0RND0q,0,"0,0,0"
100,Would you like a massage?,0,"0,0,0"
101,do you want a girlfriend?,0,"0,0,0"
102,Are you silly or serious?,0,"0,0,0"
103,Do yuh have any stalkers?,0,"0,0,0"
104,lmfao iJuz notice dat lol,0,"0,0,0"
105,R YUU STiLL WiT YO BF? (:,0,"0,0,0"
106,What&;s your funny story?,0,"0,0,0"
107,well i know who this is..,0,"0,0,0"
108,live with both Parents ??,0,"0,0,0"
109,Do you think life is fair?,0,"0,0,0"
110,How often do you get sick?,0,"0,0,0"
111,when there is none left :P,0,"0,0,0"
112,Are your nippleSz pierced?,0,"0,1,0"
113,ouch  why did you hate it?,0,"0,0,0"
114,(: Tabitha Jai Locascio (:,0,"0,0,0"
115,a different place. utopia.,0,"0,0,0"
116,Heh  default slut mode? :),0,"1,1,0"
117,HOT DAMN! Congratulations!,0,"0,0,0"
118,I hate when they do that--,0,"0,0,0"
119,Do you own a pair of dice?,0,"0,0,0"
120,Favorite brand of clothes?,0,"0,0,0"
121,Have any favourite quotes?,0,"0,0,0"
