Text_Lem,Sentiments_analyze
"truaemusic mattybboi83 number10gov mohammed murderer jesus n't mohammed rapist jesus n't","0,0,1
"
"congressman_aly islam declared war humanity 1400 year ago individual muslim may may terrorist islam terrorist","0,0,0
"
"richarddawkins parallel behavior terrorist organization prophet mohammed something 've preached 15 year","0,0,0
"
"semzyxx since claim islam limit age marriage produce verse back lie blocked","0,0,0
"
"lililllililli win 95 nobel prize create technology muslim use stupid invent","0,0,1
"
"harmlesstree2 another line horseshit poor muslim attacked virtually attack offensive","0,0,0
"
"muslim trying hard finish job genocide prophet mohammed gave islam israel palestine http //t.co/grfvglmi70","0,0,1
"
"edgeofthesandbx batchelorshow feardept say must murdering fascist follow book right","0,0,0
"
"saiacarleton naazzk environmental racism experience christian jew ezidis hindu etc muslim country","0,0,1
"
"jihadiaa nobody give fuck street practicing genocide murder slavery microbrain","0,0,0
"
"salon themuslimguy subject islam 's relationship terrorism come react like empty moron","0,0,0
"
"rt sneekinsneekout madasatrain69 ozzsue muslim_patrol nice 2 islam like hugging serial killer thinking stop bur���","0,0,1
"
"vandaliser sajid_fairooz israeliregime without muslim science would exactly today made zero contrib comp science","0,0,0
"
"dianh4 muslim ever produced decent leader world would overjoyed accept","0,0,0
"
"ardiem1m maxblumenthal oldkhayyam job mohammed set muslim done israel exists http //t.co/ilvg1qtxva","0,0,0
"
"logicalmind11 living severe delusion reason mohammed hated jew willing convert","0,0,1
"
"abu__ramadi race muslim exactly race stupid blind violent","0,0,1
"
"vandaliser sajid_fairooz israeliregime n't see relevant non muslim treated third class citizen","0,0,1
"
"discerningmumin muslim angry ca n't force islam people care http //t.co/g43tlj1dgu","0,0,0
"
"mutasawwif 90 iraqi civilian killed muslim","0,0,0
"
"_sara22_ number10gov muslim terrorist execute people daily rare response happens provocation fake victim","0,0,1
"
"robert150254 ag_nostic riwired itsomar99 mostly old testament hero attacked slaughter every man woman child animal","0,1,0
"
