ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism
1,if you add in the massive amount of sustanol and deca hugh jackman did  the arm would grow back stronger..fuck it he'd grow 2,0,add massive amount sustanol deca hugh jackman arm would grow back stronger .. fuck 'd grow 2,0,0,0
2,Wanted to change my username -- 'v4sudh4' sucks. At least  'qbarq' sounds  better than 'meow' or 'spherical cow'. :/,0,wanted change username -- 'v4sudh4 suck least 'qbarq sound better 'meow 'spherical cow,0,0,0
3,Joie is beautifulllll. :),0,joie beautifulllll,0,0,0
4,hmmm...my first,0,hmmm ... first,1,0,0
5,when it matters,0,matter,0,0,0
6,watss ur email.?,0,wats ur email,0,0,0
7,Damn you're cool,0,damn 're cool,0,0,0
8,oh that sucks :(,0,oh suck,0,0,0
9,quality for sure,0,quality sure,0,0,0
10,really!!??! haha,0,really haha,0,0,0
11,PHONE SExxx boo!,0,phone sexxx boo,0,1,0
12,okay forsurre(::,0,okay forsurre,1,0,0
13,September 22nd<3,0,september 22nd 3,0,0,0
14,anger and greed.,0,anger greed,0,0,0
15,shit! That sucks!,0,shit suck,0,0,0
16,hmm..paris hilton,0,hmm .. paris hilton,0,0,0
17,vvvvvvvummmmmmmmm,0,vvvvvvvummmmmmmmm,1,0,0
18,hmmm im not sure.,0,hmmm im sure,0,0,0
19,do you like cats?,0,like cat,0,0,0
20,nope. half korean,0,nope half korean,0,0,1
21,straight sorry :),0,straight sorry,0,0,0
22,Spam for Spam? :),0,spam spam,0,0,0
23,you text me? haha,0,text haha,0,0,0
24,Hello to you to :),0,hello,0,0,0
25,hahhahah yeah you!,0,hahhahah yeah,0,0,0
26,K-PAX. Watch it :),0,k-pax watch,0,0,0
27,got it from you :),0,got,0,0,0
28,ew i hate twilight,0,ew hate twilight,0,0,0
29,nah im just joking,0,nah im joking,0,0,0
30,EXACTLY! GOT DAMN!,0,exactly got damn,0,0,0
31,Nahhh your fine :),0,nahhh fine,0,0,0
32,Hahaha. Strange!:S,0,hahaha strange,0,0,0
33,woah that sucks :(,0,woah suck,0,0,0
34,the wifey! lol idk,0,wifey lol idk,0,0,0
35,no it shows safety,0,show safety,0,0,0
36,what a fuck nugget.,0,fuck nugget,0,0,0
37,haha yeah probably.,0,haha yeah probably,0,0,0
38,i like them all lol,0,like lol,0,0,0
39,Both! I love tea <3,0,love tea 3,0,0,0
40,Just so you know ;),0,know,0,0,0
41,fine I hate you too,0,fine hate,0,0,0
42,1 year and 3 months,0,1 year 3 month,0,0,0
43,damn what happened?,0,damn happened,0,0,0
44,I care wayy to much.,0,care wayy much,0,0,0
45,Yes. all the time :),0,yes time,0,0,0
46,lolss yeahh yew aree,0,lolss yeahh yew aree,1,0,0
47,An eagle definantly.,0,eagle definantly,0,0,0
48,lol nice question :],0,lol nice question,1,0,0
49,are you foing out???,0,foing,0,0,0
50,I love cheese cubes.,0,love cheese cube,0,0,0
51,Snow White or Ariel?,0,snow white ariel,0,0,0
52,damn why fuck drake?,0,damn fuck drake,0,0,0
53,:) who is this? haha,0,haha,0,0,0
54,what up freak nasty.,0,freak nasty,0,0,0
55,Favorite board game?,0,favorite board game,0,0,0
56,hahahaha ummm  sorry?,0,hahahaha ummm sorry,0,0,0
57,Are you a lonely boy?,0,lonely boy,0,0,0
58,okay ill check it out,0,okay ill check,1,0,0
59,Longest relationship?,0,longest relationship,0,0,0
60,yeppppppppppppppppppp,0,yeppppppppppppppppppp,1,0,0
61,Do you like to clean?,0,like clean,0,0,0
62,iLove your nose ring!,0,ilove nose ring,0,0,0
63,No lol thats funny :),0,lol thats funny,0,0,0
64,Do you like your name?,0,like name,0,0,0
